,date,symbol,pos_type,fut_gap_filled
86,2020-09-21,AAPL,long,1.45652549
299,2020-09-21,TSLA,short,3.194895398
87,2020-09-22,AAPL,short,0.3538473745
300,2020-09-22,TSLA,long,-0.5876705337
301,2020-09-23,TSLA,long,-0.6334563424
302,2020-09-24,TSLA,long,1.155798156
88,2020-09-28,AAPL,short,-0.1831499002
303,2020-09-28,TSLA,short,-0.4751152798
615,2020-09-28,GOOG,short,-0.1484124599
304,2020-10-01,TSLA,short,-0.4604258436
89,2020-10-02,AAPL,long,-0.3641010556
305,2020-10-02,TSLA,long,-0.337317986
563,2020-10-02,MSFT,long,-0.3295966896
415,2020-10-02,NFLX,long,-0.10288925
416,2020-10-07,NFLX,short,-0.8202809729
306,2020-10-08,TSLA,short,0
90,2020-10-12,AAPL,short,-0.7475734717
91,2020-10-15,AAPL,long,0.004045068665
307,2020-10-15,TSLA,long,-0.43038987
417,2020-10-21,NFLX,long,-0.7613771582
308,2020-10-22,TSLA,short,-0.09699145413
309,2020-10-26,TSLA,long,0.5700005425
491,2020-10-28,F,long,-0.1666663355
564,2020-10-28,MSFT,long,-0.7903226944
616,2020-10-28,GOOG,long,-0.9638368229
492,2020-10-29,F,short,-0.3191489578
92,2020-10-30,AAPL,long,-0.7816904517
617,2020-10-30,GOOG,short,-0.354915347
310,2020-11-03,TSLA,short,-0.6702811125
93,2020-11-04,AAPL,short,-0.5162163069
565,2020-11-04,MSFT,short,-0.7891954376
618,2020-11-04,GOOG,short,-0.9292492898
94,2020-11-05,AAPL,short,-0.640001452
566,2020-11-05,MSFT,short,-0.842478084
493,2020-11-09,F,short,-0.9062507451
311,2020-11-09,TSLA,short,0.937175251
418,2020-11-09,NFLX,long,-0.6467965921
494,2020-11-11,F,short,0.4090911061
495,2020-11-16,F,short,-0.3499988079
312,2020-11-23,TSLA,short,-0.8768905938
496,2020-11-24,F,short,-0.9655197361
313,2020-11-24,TSLA,short,-0.2345027046
497,2020-11-25,F,long,-0.7999992371
314,2020-11-30,TSLA,short,1.899694639
315,2020-12-01,TSLA,short,-0.1483829476
316,2020-12-02,TSLA,long,-0.4668089096
317,2020-12-03,TSLA,short,-0.6419800715
